brand_name,peta,leaping_bunny,parent_company,parent_status,notes
good.clean.goop,FALSE,TRUE,,unknown,
Good3,TRUE,FALSE,,unknown,
GoodBasics,TRUE,FALSE,TSF Group,ok,
Goodeau,TRUE,FALSE,,unknown,
GoodFibers USA,TRUE,FALSE,,unknown,
GoodFur,FALSE,TRUE,,unknown,
goodlifescience GmbH,TRUE,FALSE,,unknown,
Goodspread,FALSE,TRUE,,unknown,
Goodwin's Skin Soother,FALSE,TRUE,,unknown,
Goody,TRUE,FALSE,BBI,ok,
Goood Petfood,TRUE,FALSE,,unknown,
GoopBeauty,FALSE,TRUE,,unknown,
goPure Beauty,TRUE,FALSE,,unknown,
GÖRKİTO MAĞAZACILIK,TRUE,FALSE,,unknown,
GoSelly,TRUE,FALSE,Spigen Beauty,ok,
GOSH Copenhagen,TRUE,FALSE,,unknown,
Gosh Cosmetics,TRUE,FALSE,,unknown,
göt2b,TRUE,FALSE,Henkel,bad,Henkel sells in China
gotink,TRUE,FALSE,,unknown,
Gotji Beauty,FALSE,TRUE,,unknown,
Gourmet Body Treats,TRUE,FALSE,,unknown,
GoWipe,FALSE,TRUE,,unknown,
Grab Green,FALSE,TRUE,,unknown,
Grabity Labs,TRUE,FALSE,Polyphenol Factory Company,ok,
Grace & Stella,FALSE,TRUE,,unknown,
Grace + Tonic Botanical Beauty,TRUE,FALSE,,unknown,
Grace Cole…,TRUE,FALSE,,unknown,
Grace Routine,TRUE,FALSE,,unknown,
Gracie & Bella,TRUE,FALSE,,unknown,
Grafton International,TRUE,FALSE,,unknown,
Grainular,FALSE,TRUE,,unknown,
Grande Cosmetics,TRUE,FALSE,,unknown,
Grandma’s Natural Remedies,TRUE,TRUE,,unknown,
Grandma's Olde Fashioned Soap and Candles,FALSE,TRUE,,unknown,
Grangettes Switzerland,TRUE,FALSE,,unknown,
Grateful Body Botanical Skin Care,FALSE,TRUE,,unknown,
Grateful Body Skin Care,TRUE,FALSE,,unknown,
Gray Away,FALSE,TRUE,,unknown,
"Great American, The Wholefood Farmacy",TRUE,FALSE,,unknown,
Great Many,FALSE,TRUE,,unknown,
Greater Than Beauty,FALSE,TRUE,,unknown,
Greatfill,TRUE,FALSE,,unknown,
Green,TRUE,FALSE,INNMATS,ok,
Green Beauty Cosmetics,TRUE,FALSE,,unknown,
